,Jaccard,ROUGE-L,METEOR,SBERT Cos,Edit Dist,SDS
Jaccard,1.0,0.8818850173338609,0.8252307013027976,0.7020263781311588,-0.7531982208878002,-0.8037458551419789
ROUGE-L,0.8818850173338609,1.0,0.817995931371373,0.6976589503052767,-0.8424516433424687,-0.814801419244054
METEOR,0.8252307013027976,0.817995931371373,1.0,0.6300708131912343,-0.7342571017871299,-0.7667684398689534
SBERT Cos,0.7020263781311588,0.6976589503052767,0.6300708131912343,1.0,-0.530769574119788,-0.9727052388346056
Edit Dist,-0.7531982208878002,-0.8424516433424687,-0.7342571017871299,-0.530769574119788,1.0,0.6442204216060502
SDS,-0.8037458551419789,-0.814801419244054,-0.7667684398689534,-0.9727052388346056,0.6442204216060502,1.0
