,Jaccard,ROUGE-L,METEOR,SBERT Cos,Edit Dist,SDS
Jaccard,1.0,0.7520916764237764,0.9021422659934278,0.6458548714945549,-0.4439260614075004,-0.8403345438898606
ROUGE-L,0.7520916764237764,1.0,0.8066637507968001,0.5345062451746624,-0.7710830124974618,-0.8081442053520966
METEOR,0.9021422659934278,0.8066637507968001,1.0,0.6188453301102154,-0.5079383753928794,-0.8670332777012697
SBERT Cos,0.6458548714945549,0.5345062451746624,0.6188453301102154,1.0,-0.3639663144200894,-0.902125224927103
Edit Dist,-0.4439260614075004,-0.7710830124974618,-0.5079383753928794,-0.3639663144200894,1.0,0.5612176812431824
SDS,-0.8403345438898606,-0.8081442053520966,-0.8670332777012697,-0.902125224927103,0.5612176812431824,1.0
